city,osmid,length_m,highway_type,lanes,speed_limit,is_oneway,intersection_density,highway_risk_score,poi_schools,poi_hospitals,poi_markets,poi_bus_stops,poi_fuel,poi_total,annual_rainfall_mm,avg_temp_c,fog_days_per_year,pop_density_km2,urban_share_pct,risk_road_type,risk_intersection,risk_poi,risk_lanes_speed,risk_score_raw,is_blackspot,expected_accident_rate,expected_accidents,intersection_multiplier,poi_multiplier,adjusted_accidents,accidents_per_500m,rf_risk_score,xgb_risk_score,predicted_label,cat_risk_score,cat_predicted,xgb_risk_score_v2,xgb_predicted_v2,morth_predicted,risk_archetype,archetype_name
Pune,310424742,1270.8,trunk,1,40,0,0,6,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,1,0,0,0,1,1,10.8,13.72464,1.0,1.0,13.72464,5.4,0.9377859459909744,0.99983823,1,0.997745591256418,1,0.26907122,0,0,1,Long Arterial Segment
Pune,"[1313663424, 127052165, 244386486]",479.5,secondary,2,40,1,15,4,0,1,0,0,1,2.0,1155.4,30.4,0.0,603,61.0,1,1,0,0,2,1,5.6,2.6852,1.8,1.1,5.316696,5.544,0.9687921247629964,0.98221624,1,0.9977634856185794,1,0.8553145,1,1,-1,Uncategorised
Pune,1460027880,65.7,secondary,1,40,0,11,4,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,1,1,0,0,2,1,5.6,0.36792,1.8,1.0,0.6622560000000001,5.04,0.9676255050615048,0.9986749,1,0.9737180291086744,1,0.646614,1,1,-1,Uncategorised
Pune,318257505,96.7,secondary,1,40,0,11,4,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,1,1,0,0,2,1,5.6,0.54152,1.8,1.0,0.974736,5.04,0.9675380539352576,0.9988072,1,0.9737180291086744,1,0.5746456,1,1,-1,Uncategorised
Pune,1162394849,275.2,secondary,4,40,1,19,4,1,3,0,3,0,8.1,1155.4,30.4,0.0,603,61.0,1,1,1,0,3,1,5.6,1.5411199999999998,1.8,1.405,3.89749248,7.081199999999999,0.9865273494432588,0.9963182,1,0.9997939672986891,1,0.96298814,1,1,-1,Uncategorised
Pune,1394965455,63.7,primary,1,40,0,13,5,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,1,1,0,0,2,1,8.2,0.52234,1.8,1.0,0.940212,7.380000000000001,0.9849436637725394,0.9995577,1,0.9999589747474465,1,0.59939325,1,1,-1,Uncategorised
Pune,303450898,231.7,primary,1,40,0,7,5,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,1,1,0,0,2,1,8.2,1.89994,1.56,1.0,2.9639063999999995,6.395999999999999,0.9821165477056364,0.9978671,1,0.9898565482164062,1,0.4500362,0,1,1,Long Arterial Segment
Pune,253976046,42.8,primary,2,40,1,22,5,1,7,0,2,0,11.9,1155.4,30.4,0.0,603,61.0,1,1,1,0,3,1,8.2,0.3509599999999999,1.8,1.5950000000000002,1.00760616,10.0760616,0.9978482921650648,0.9978988,1,0.9999823688533441,1,0.9257257,1,1,0,Monsoon-Exposure Segment
Delhi,1060429945,35.6,primary,1,40,0,25,5,0,1,0,0,0,1.2,723.7,30.2,0.0,11320,97.5,1,1,0,0,2,1,8.2,0.2919199999999999,1.8,1.06,0.5569833599999999,5.569833599999999,0.9333309633139404,0.992057,1,0.8788777124773995,1,0.011679979,0,1,-1,Uncategorised
Delhi,700310542,123.6,secondary,1,40,1,22,4,0,0,0,0,0,0.0,723.7,30.2,0.0,11320,97.5,1,1,0,0,2,1,5.6,0.69216,1.8,1.0,1.245888,5.040000000000001,0.9776152706325736,0.9966625,1,0.98663384194998,1,0.84650767,1,1,-1,Uncategorised
Pune,22841089,128.1,secondary,2,40,1,16,4,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,1,1,0,0,2,1,5.6,0.7173599999999999,1.8,1.0,1.2912479999999995,5.039999999999999,0.9775494284824104,0.9950321,1,0.9893022856652887,1,0.94561625,1,1,-1,Uncategorised
Pune,641670804,285.4,secondary,1,40,1,14,4,3,8,0,2,0,16.1,1155.4,30.4,0.0,603,61.0,1,1,1,0,3,1,5.6,1.59824,1.8,1.805,5.19268176,9.0972,0.9870677991387998,0.9978707,1,0.999965981037427,1,0.9241243,1,1,0,Monsoon-Exposure Segment
Delhi,689545575,139.3,secondary,2,40,1,16,4,1,0,0,2,0,3.5,723.7,30.2,0.0,11320,97.5,1,1,1,0,3,1,5.6,0.78008,1.8,1.175,1.6498692,5.922,0.9880697316953332,0.9937768,1,0.9973056062090185,1,0.86862797,1,1,-1,Uncategorised
Delhi,259022074,38.0,primary,1,40,1,20,5,0,0,0,1,0,1.0,723.7,30.2,0.0,11320,97.5,1,1,0,0,2,1,8.2,0.3116,1.8,1.05,0.5889240000000001,5.889240000000001,0.927292150330695,0.9724433,1,0.9742618910803593,1,0.47672474,0,1,-1,Uncategorised
Delhi,985063952,290.5,primary,2,40,1,3,5,0,1,0,0,0,1.2,723.7,30.2,0.0,11320,97.5,1,0,0,0,1,1,8.2,2.3821,1.24,1.06,3.13103224,5.38904,0.9629375536698784,0.95967805,1,0.9837345632494616,1,0.40812454,0,0,-1,Uncategorised
Pune,856658281,32.8,trunk,1,40,1,12,6,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,1,1,0,0,2,1,10.8,0.35424,1.8,1.0,0.637632,6.37632,0.9807350977077336,0.99652076,1,0.9840879735521812,1,0.66836345,1,1,-1,Uncategorised
Pune,1182631136,144.4,primary,3,40,1,33,5,0,1,0,2,0,3.2,1155.4,30.4,0.0,603,61.0,1,1,1,0,3,1,8.2,1.18408,1.8,1.16,2.47235904,8.5608,0.9969604389841104,0.9979826,1,0.9999971089130564,1,0.96727127,1,1,-1,Uncategorised
Delhi,202969533,145.4,secondary,1,40,1,51,4,0,2,0,0,0,2.4,723.7,30.2,0.0,11320,97.5,1,1,0,0,2,1,5.6,0.81424,1.8,1.12,1.6415078400000005,5.644800000000001,0.990245360807092,0.998389,1,0.9975996877555866,1,0.83378124,1,1,4,Long Arterial Segment
Pune,198117216,49.9,secondary,1,40,0,11,4,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,1,1,0,0,2,1,5.6,0.27944,1.8,1.0,0.5029920000000001,5.0299200000000015,0.9636705715645092,0.9973404,1,0.9080617671522943,1,0.59059423,1,1,-1,Uncategorised
