city,osmid,length_m,highway_type,lanes,speed_limit,is_oneway,intersection_density,highway_risk_score,poi_schools,poi_hospitals,poi_markets,poi_bus_stops,poi_fuel,poi_total,annual_rainfall_mm,avg_temp_c,fog_days_per_year,pop_density_km2,urban_share_pct,risk_road_type,risk_intersection,risk_poi,risk_lanes_speed,risk_score_raw,is_blackspot,expected_accident_rate,expected_accidents,intersection_multiplier,poi_multiplier,adjusted_accidents,accidents_per_500m,rf_risk_score,xgb_risk_score,predicted_label,cat_risk_score,cat_predicted,xgb_risk_score_v2,xgb_predicted_v2,morth_predicted,mismatch_category,osmid_str,lat,lon
Pune,1193393730,221.2,primary,1,40,0,5,5,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,1,1,0,0,2,1,8.2,1.81384,1.4,1.0,2.5393759999999994,5.739999999999998,0.982018043440773,0.9970061,1,0.9699,1,0.5211407,1,1,Confirmed Black Spot,1193393730,19.03911,73.95505
Delhi,1076328224,81.6,residential,1,40,0,59,2,1,2,0,0,0,3.9,723.7,30.2,0.0,11320,97.5,0,1,1,0,2,0,1.8,0.1468799999999999,1.8,1.195,0.31593888,1.9359,0.0005037622737286,7.987261e-06,0,0.0,0,0.0029577764,0,0,Safe (Both Agree),1076328224,28.65392,77.18572
Pune,1374339557,37.0,residential,1,40,0,4,2,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,0,0,0,0,0,0,1.8,0.0666,1.32,1.0,0.087912,0.8791200000000002,0.0105931000636274,4.321779e-06,0,0.0,0,0.2392085,0,0,Safe (Both Agree),1374339557,18.87324,73.83944
Delhi,422177553,17.9,residential,1,40,0,43,2,0,0,0,0,0,0.0,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.03222,1.8,1.0,0.057996,0.57996,7.232385903773035e-05,6.9889927e-07,0,0.0,0,0.00012898204,0,0,Safe (Both Agree),422177553,28.70768,77.25743
Pune,861008189,863.3,trunk,1,40,1,5,6,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,1,1,0,0,2,1,10.8,9.32364,1.4,1.0,13.053095999999998,7.559999999999999,0.9906242684725816,0.9997651,1,0.9999,1,0.9402061,1,1,Confirmed Black Spot,861008189,18.48695,74.14904
Delhi,369800070,51.9,tertiary,1,40,0,20,3,1,0,3,0,0,5.4,723.7,30.2,0.0,11320,97.5,0,1,1,0,2,0,3.4,0.1764599999999999,1.8,1.27,0.40338756,3.8862,0.0023740549797806,0.00015900815,0,0.0001,0,0.015651163,0,0,Safe (Both Agree),369800070,28.74282,77.1602
Delhi,1073823361,35.5,residential,1,40,0,36,2,0,0,0,0,0,0.0,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.0639,1.8,1.0,0.11502,1.1502,7.762199432446312e-05,3.105372e-06,0,0.0,0,0.003420891,0,0,Safe (Both Agree),1073823361,28.73761,77.20269
Pune,857163883,16.8,residential,1,40,0,14,2,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,0,1,0,0,1,0,1.8,0.03024,1.8,1.0,0.054432,0.5443200000000001,0.0005173417347189,8.1203956e-07,0,0.0,0,0.0004886711,0,0,Safe (Both Agree),857163883,18.60108,73.96203
Delhi,297421944,86.6,residential,1,40,0,30,2,0,0,0,0,0,0.0,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.15588,1.8,1.0,0.280584,1.62,0.0008458412107836,7.978909e-06,0,0.0,0,0.02398602,0,0,Safe (Both Agree),297421944,28.79436,77.13297
Pune,257221334,23.4,residential,1,40,0,104,2,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,0,1,0,0,1,0,1.8,0.04212,1.8,1.0,0.075816,0.7581599999999998,0.0003243260785346,1.128655e-06,0,0.0,0,0.0012234038,0,0,Safe (Both Agree),257221334,18.66947,73.77947
Delhi,717465235,79.0,residential,1,40,0,19,2,0,1,0,0,0,1.2,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.1422,1.8,1.06,0.2713176,1.7172000000000005,0.0089987573077389,1.0731269e-05,0,0.0,0,0.08326496,0,0,Safe (Both Agree),717465235,28.68519,77.1949
Pune,217519983,35.1,residential,1,40,0,33,2,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,0,1,0,0,1,0,1.8,0.06318,1.8,1.0,0.113724,1.13724,0.003093011337108,8.77871e-06,0,0.0,0,0.15993948,0,0,Safe (Both Agree),217519983,18.35051,74.02433
Pune,240769570,247.2,trunk,1,40,0,4,6,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,1,0,0,0,1,1,10.8,2.66976,1.32,1.0,3.5240832,7.128,0.9842726077325372,0.9999417,1,0.9997,1,0.5398533,1,0,Government Blind Spot,240769570,19.25972,73.97987
Delhi,661734473,20.8,residential,1,40,0,17,2,1,0,0,0,0,1.5,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.03744,1.8,1.075,0.0724464,0.7244640000000002,0.0005389330195767,1.0900663e-06,0,0.0,0,0.00030566525,0,0,Safe (Both Agree),661734473,28.7531,77.17419
Pune,858003949,120.3,residential,1,40,0,25,2,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,0,1,0,0,1,0,1.8,0.2165399999999999,1.8,1.0,0.3897719999999999,1.6199999999999997,0.0094587685985399,2.0724565e-05,0,0.0,0,0.30413184,0,0,Safe (Both Agree),858003949,18.63198,73.8561
